model,family,condition,div_coeff,subject,n,acc,logpcc,margin,logpcc_ln,margin_ln
GPT2_204M_PubMedAbs,GPT2-204M,pubmed,0.168,moral_disputes,346,0.236994,-4.527409,-0.046751,-4.527409,-0.046751
GPT2_204M_PubMedAbs,GPT2-204M,pubmed,0.168,moral_scenarios,895,0.237989,-5.105368,-0.008950,-5.105368,-0.008950
GPT2_204M_PubMedAbs,GPT2-204M,pubmed,0.168,nutrition,306,0.209150,-5.054783,-0.045161,-5.054783,-0.045161
GPT2_204M_PubMedAbs,GPT2-204M,pubmed,0.168,philosophy,311,0.180064,-4.648645,-0.142991,-4.648645,-0.142991
GPT2_204M_PubMedAbs,GPT2-204M,pubmed,0.168,prehistory,324,0.212963,-4.799248,-0.117435,-4.799248,-0.117435
GPT2_204M_PubMedAbs,GPT2-204M,pubmed,0.168,professional_accounting,282,0.234043,-4.527180,0.011141,-4.527180,0.011141
GPT2_204M_PubMedAbs,GPT2-204M,pubmed,0.168,professional_law,1534,0.240548,-4.501141,-0.027040,-4.501141,-0.027040
GPT2_204M_PubMedAbs,GPT2-204M,pubmed,0.168,professional_medicine,272,0.198529,-4.492136,0.060640,-4.492136,0.060640
GPT2_204M_PubMedAbs,GPT2-204M,pubmed,0.168,professional_psychology,612,0.251634,-4.694750,-0.018430,-4.694750,-0.018430
GPT2_204M_PubMedAbs,GPT2-204M,pubmed,0.168,public_relations,110,0.218182,-5.099081,-0.074826,-5.099081,-0.074826
GPT2_204M_PubMedAbs,GPT2-204M,pubmed,0.168,security_studies,245,0.195918,-5.343545,0.012688,-5.343545,0.012688
GPT2_204M_PubMedAbs,GPT2-204M,pubmed,0.168,sociology,201,0.238806,-4.949089,0.033128,-4.949089,0.033128
GPT2_204M_PubMedAbs,GPT2-204M,pubmed,0.168,us_foreign_policy,100,0.260000,-5.034472,0.122043,-5.034472,0.122043
GPT2_204M_PubMedAbs,GPT2-204M,pubmed,0.168,virology,166,0.283133,-4.811989,0.146694,-4.811989,0.146694
GPT2_204M_PubMedAbs,GPT2-204M,pubmed,0.168,world_religions,171,0.327485,-5.063247,0.136997,-5.063247,0.136997
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,abstract_algebra,100,0.220000,-4.939063,-0.086884,-4.939063,-0.086884
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,anatomy,135,0.185185,-5.302522,-0.139063,-5.302522,-0.139063
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,astronomy,152,0.171053,-5.429672,-0.179461,-5.429672,-0.179461
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,business_ethics,100,0.300000,-5.572669,0.156302,-5.572669,0.156302
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,clinical_knowledge,265,0.215094,-5.357923,-0.185111,-5.357923,-0.185111
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,college_biology,144,0.256944,-5.135306,0.053410,-5.135306,0.053410
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,college_chemistry,100,0.190000,-5.083567,-0.231594,-5.083567,-0.231594
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,college_computer_science,100,0.250000,-4.945720,0.114458,-4.945720,0.114458
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,college_mathematics,100,0.210000,-5.069581,-0.170808,-5.069581,-0.170808
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,college_medicine,173,0.213873,-5.425356,-0.188807,-5.425356,-0.188807
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,college_physics,102,0.215686,-5.482375,-0.233656,-5.482375,-0.233656
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,computer_security,100,0.280000,-5.219123,0.157277,-5.219123,0.157277
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,conceptual_physics,235,0.263830,-5.565267,0.099256,-5.565267,0.099256
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,econometrics,114,0.236842,-5.228558,0.035137,-5.228558,0.035137
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,electrical_engineering,145,0.241379,-5.410699,0.029658,-5.410699,0.029658
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,elementary_mathematics,378,0.211640,-5.361121,-0.115187,-5.361121,-0.115187
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,formal_logic,126,0.285714,-4.527509,0.072516,-4.527509,0.072516
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,global_facts,100,0.180000,-5.657927,-0.156672,-5.657927,-0.156672
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,high_school_biology,310,0.180645,-5.482121,-0.311552,-5.482121,-0.311552
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,high_school_chemistry,203,0.177340,-5.155656,-0.236665,-5.155656,-0.236665
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,high_school_computer_science,100,0.250000,-5.197408,0.092707,-5.197408,0.092707
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,high_school_european_history,165,0.224242,-5.828689,-0.073256,-5.828689,-0.073256
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,high_school_geography,198,0.176768,-5.609869,-0.229993,-5.609869,-0.229993
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,high_school_government_and_politics,193,0.196891,-5.786765,-0.228703,-5.786765,-0.228703
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,high_school_macroeconomics,390,0.202564,-5.717249,-0.259243,-5.717249,-0.259243
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,high_school_mathematics,270,0.211111,-5.325526,-0.162795,-5.325526,-0.162795
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,high_school_microeconomics,238,0.210084,-5.729542,-0.202647,-5.729542,-0.202647
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,high_school_physics,151,0.192053,-5.568465,-0.226527,-5.568465,-0.226527
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,high_school_psychology,545,0.192661,-5.862817,-0.264822,-5.862817,-0.264822
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,high_school_statistics,216,0.152778,-5.621995,-0.399089,-5.621995,-0.399089
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,high_school_us_history,204,0.250000,-5.717353,0.067573,-5.717353,0.067573
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,high_school_world_history,237,0.270042,-5.758765,0.087029,-5.758765,0.087029
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,human_aging,223,0.313901,-5.458636,0.228236,-5.458636,0.228236
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,human_sexuality,131,0.259542,-5.515506,-0.000519,-5.515506,-0.000519
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,international_law,121,0.239669,-5.444118,-0.004884,-5.444118,-0.004884
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,jurisprudence,108,0.259259,-5.695069,0.048793,-5.695069,0.048793
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,logical_fallacies,163,0.220859,-5.698547,-0.131130,-5.698547,-0.131130
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,machine_learning,112,0.312500,-4.899791,0.323681,-4.899791,0.323681
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,management,103,0.174757,-5.924584,-0.379769,-5.924584,-0.379769
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,marketing,234,0.290598,-5.662224,0.211637,-5.662224,0.211637
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,medical_genetics,100,0.300000,-4.799244,0.280422,-4.799244,0.280422
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,miscellaneous,783,0.237548,-5.388170,-0.050965,-5.388170,-0.050965
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,moral_disputes,346,0.248555,-5.813744,0.035679,-5.813744,0.035679
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,moral_scenarios,895,0.237989,-6.005888,-0.035611,-6.005888,-0.035611
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,nutrition,306,0.222222,-5.391679,-0.129664,-5.391679,-0.129664
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,philosophy,311,0.186495,-6.008831,-0.286216,-6.008831,-0.286216
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,prehistory,324,0.216049,-5.538681,-0.145056,-5.538681,-0.145056
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,professional_accounting,282,0.234043,-5.513981,0.009288,-5.513981,0.009288
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,professional_law,1534,0.245763,-6.085947,0.008129,-6.085947,0.008129
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,professional_medicine,272,0.183824,-5.324530,-0.276916,-5.324530,-0.276916
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,professional_psychology,612,0.250000,-5.728212,0.015671,-5.728212,0.015671
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,public_relations,110,0.218182,-5.857145,-0.245869,-5.857145,-0.245869
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,security_studies,245,0.187755,-6.059115,-0.240053,-6.059115,-0.240053
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,sociology,201,0.243781,-5.740336,0.015181,-5.740336,0.015181
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,us_foreign_policy,100,0.280000,-5.515110,0.069917,-5.515110,0.069917
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,virology,166,0.283133,-5.181229,0.140259,-5.181229,0.140259
GPT2_204M_USPTO,GPT2-204M,uspto,0.158,world_religions,171,0.321637,-5.105527,0.305140,-5.105527,0.305140
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,abstract_algebra,100,0.220000,-4.939063,-0.086884,-4.939063,-0.086884
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,anatomy,135,0.185185,-5.302522,-0.139063,-5.302522,-0.139063
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,astronomy,152,0.171053,-5.429672,-0.179461,-5.429672,-0.179461
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,business_ethics,100,0.300000,-5.572669,0.156302,-5.572669,0.156302
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,clinical_knowledge,265,0.215094,-5.357923,-0.185111,-5.357923,-0.185111
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,college_biology,144,0.256944,-5.135306,0.053410,-5.135306,0.053410
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,college_chemistry,100,0.190000,-5.083567,-0.231594,-5.083567,-0.231594
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,college_computer_science,100,0.250000,-4.945720,0.114458,-4.945720,0.114458
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,college_mathematics,100,0.210000,-5.069581,-0.170808,-5.069581,-0.170808
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,college_medicine,173,0.213873,-5.425356,-0.188807,-5.425356,-0.188807
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,college_physics,102,0.215686,-5.482375,-0.233656,-5.482375,-0.233656
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,computer_security,100,0.280000,-5.219123,0.157277,-5.219123,0.157277
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,conceptual_physics,235,0.263830,-5.565267,0.099256,-5.565267,0.099256
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,econometrics,114,0.236842,-5.228558,0.035137,-5.228558,0.035137
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,electrical_engineering,145,0.241379,-5.410699,0.029658,-5.410699,0.029658
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,elementary_mathematics,378,0.211640,-5.361121,-0.115187,-5.361121,-0.115187
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,formal_logic,126,0.285714,-4.527509,0.072516,-4.527509,0.072516
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,global_facts,100,0.180000,-5.657927,-0.156672,-5.657927,-0.156672
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,high_school_biology,310,0.180645,-5.482121,-0.311552,-5.482121,-0.311552
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,high_school_chemistry,203,0.177340,-5.155656,-0.236665,-5.155656,-0.236665
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,high_school_computer_science,100,0.250000,-5.197408,0.092707,-5.197408,0.092707
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,high_school_european_history,165,0.224242,-5.828689,-0.073256,-5.828689,-0.073256
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,high_school_geography,198,0.176768,-5.609869,-0.229993,-5.609869,-0.229993
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,high_school_government_and_politics,193,0.196891,-5.786765,-0.228703,-5.786765,-0.228703
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,high_school_macroeconomics,390,0.202564,-5.717249,-0.259243,-5.717249,-0.259243
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,high_school_mathematics,270,0.211111,-5.325526,-0.162795,-5.325526,-0.162795
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,high_school_microeconomics,238,0.210084,-5.729542,-0.202647,-5.729542,-0.202647
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,high_school_physics,151,0.192053,-5.568465,-0.226527,-5.568465,-0.226527
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,high_school_psychology,545,0.192661,-5.862817,-0.264822,-5.862817,-0.264822
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,high_school_statistics,216,0.152778,-5.621995,-0.399089,-5.621995,-0.399089
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,high_school_us_history,204,0.250000,-5.717353,0.067573,-5.717353,0.067573
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,high_school_world_history,237,0.270042,-5.758765,0.087029,-5.758765,0.087029
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,human_aging,223,0.313901,-5.458636,0.228236,-5.458636,0.228236
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,human_sexuality,131,0.259542,-5.515506,-0.000519,-5.515506,-0.000519
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,international_law,121,0.239669,-5.444118,-0.004884,-5.444118,-0.004884
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,jurisprudence,108,0.259259,-5.695069,0.048793,-5.695069,0.048793
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,logical_fallacies,163,0.220859,-5.698547,-0.131130,-5.698547,-0.131130
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,machine_learning,112,0.312500,-4.899791,0.323681,-4.899791,0.323681
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,management,103,0.174757,-5.924584,-0.379769,-5.924584,-0.379769
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,marketing,234,0.290598,-5.662224,0.211637,-5.662224,0.211637
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,medical_genetics,100,0.300000,-4.799244,0.280422,-4.799244,0.280422
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,miscellaneous,783,0.237548,-5.388170,-0.050965,-5.388170,-0.050965
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,moral_disputes,346,0.248555,-5.813744,0.035679,-5.813744,0.035679
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,moral_scenarios,895,0.237989,-6.005888,-0.035611,-6.005888,-0.035611
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,nutrition,306,0.222222,-5.391679,-0.129664,-5.391679,-0.129664
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,philosophy,311,0.186495,-6.008831,-0.286216,-6.008831,-0.286216
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,prehistory,324,0.216049,-5.538681,-0.145056,-5.538681,-0.145056
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,professional_accounting,282,0.234043,-5.513981,0.009288,-5.513981,0.009288
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,professional_law,1534,0.245763,-6.085947,0.008129,-6.085947,0.008129
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,professional_medicine,272,0.183824,-5.324530,-0.276916,-5.324530,-0.276916
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,professional_psychology,612,0.250000,-5.728212,0.015671,-5.728212,0.015671
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,public_relations,110,0.218182,-5.857145,-0.245869,-5.857145,-0.245869
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,security_studies,245,0.187755,-6.059115,-0.240053,-6.059115,-0.240053
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,sociology,201,0.243781,-5.740336,0.015181,-5.740336,0.015181
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,us_foreign_policy,100,0.280000,-5.515110,0.069917,-5.515110,0.069917
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,virology,166,0.283133,-5.181229,0.140259,-5.181229,0.140259
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,mix,0.195,world_religions,171,0.321637,-5.105527,0.305140,-5.105527,0.305140
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,abstract_algebra,100,0.220000,-4.245468,-0.119938,-4.245468,-0.119938
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,anatomy,135,0.170370,-4.070052,-0.147208,-4.070052,-0.147208
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,astronomy,152,0.177632,-4.425257,-0.157647,-4.425257,-0.157647
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,business_ethics,100,0.300000,-4.258544,0.173619,-4.258544,0.173619
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,clinical_knowledge,265,0.218868,-4.114784,-0.063375,-4.114784,-0.063375
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,college_biology,144,0.263889,-4.051241,0.026564,-4.051241,0.026564
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,college_chemistry,100,0.200000,-4.376605,-0.040631,-4.376605,-0.040631
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,college_computer_science,100,0.240000,-4.195728,0.080435,-4.195728,0.080435
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,college_mathematics,100,0.210000,-4.287738,-0.136088,-4.287738,-0.136088
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,college_medicine,173,0.219653,-4.185527,0.019927,-4.185527,0.019927
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,college_physics,102,0.215686,-4.368986,-0.028930,-4.368986,-0.028930
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,computer_security,100,0.270000,-4.217413,-0.009850,-4.217413,-0.009850
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,conceptual_physics,235,0.263830,-4.144144,-0.032474,-4.144144,-0.032474
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,econometrics,114,0.236842,-4.157674,-0.113315,-4.157674,-0.113315
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,electrical_engineering,145,0.241379,-4.208506,0.012693,-4.208506,0.012693
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,elementary_mathematics,378,0.208995,-4.357031,-0.148377,-4.357031,-0.148377
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,formal_logic,126,0.277778,-3.660502,0.205863,-3.660502,0.205863
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,global_facts,100,0.180000,-4.585935,-0.269169,-4.585935,-0.269169
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,high_school_biology,310,0.187097,-4.118682,-0.089316,-4.118682,-0.089316
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,high_school_chemistry,203,0.152709,-4.466691,-0.225392,-4.466691,-0.225392
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,high_school_computer_science,100,0.250000,-4.162649,-0.010560,-4.162649,-0.010560
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,high_school_european_history,165,0.236364,-4.432361,-0.070428,-4.432361,-0.070428
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,high_school_geography,198,0.176768,-4.376467,-0.100468,-4.376467,-0.100468
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,high_school_government_and_politics,193,0.196891,-4.226309,-0.014715,-4.226309,-0.014715
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,high_school_macroeconomics,390,0.207692,-4.272457,0.034023,-4.272457,0.034023
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,high_school_mathematics,270,0.211111,-4.387060,-0.153047,-4.387060,-0.153047
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,high_school_microeconomics,238,0.205882,-4.252349,0.003591,-4.252349,0.003591
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,high_school_physics,151,0.198675,-4.342468,-0.067511,-4.342468,-0.067511
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,high_school_psychology,545,0.190826,-4.200710,-0.074613,-4.200710,-0.074613
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,high_school_statistics,216,0.166667,-4.014056,0.139873,-4.014056,0.139873
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,high_school_us_history,204,0.264706,-4.408295,0.057818,-4.408295,0.057818
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,high_school_world_history,237,0.274262,-4.307108,-0.010205,-4.307108,-0.010205
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,human_aging,223,0.313901,-4.509368,0.049299,-4.509368,0.049299
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,human_sexuality,131,0.259542,-4.042741,0.080799,-4.042741,0.080799
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,international_law,121,0.239669,-4.340469,-0.126859,-4.340469,-0.126859
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,jurisprudence,108,0.277778,-4.012044,-0.052721,-4.012044,-0.052721
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,logical_fallacies,163,0.220859,-4.192124,-0.161194,-4.192124,-0.161194
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,machine_learning,112,0.330357,-3.957994,0.256036,-3.957994,0.256036
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,management,103,0.174757,-4.383743,-0.091575,-4.383743,-0.091575
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,marketing,234,0.290598,-4.254067,0.056499,-4.254067,0.056499
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,medical_genetics,100,0.290000,-3.972065,0.114281,-3.972065,0.114281
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,miscellaneous,783,0.237548,-4.326029,-0.094695,-4.326029,-0.094695
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,moral_disputes,346,0.248555,-4.108139,-0.054606,-4.108139,-0.054606
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,moral_scenarios,895,0.237989,-4.306444,0.006258,-4.306444,0.006258
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,nutrition,306,0.225490,-4.488488,-0.037953,-4.488488,-0.037953
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,philosophy,311,0.180064,-4.177790,-0.192815,-4.177790,-0.192815
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,prehistory,324,0.219136,-4.123743,-0.121860,-4.123743,-0.121860
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,professional_accounting,282,0.234043,-4.246498,-0.064249,-4.246498,-0.064249
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,professional_law,1534,0.248370,-3.989203,-0.000999,-3.989203,-0.000999
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,professional_medicine,272,0.198529,-4.066728,0.079914,-4.066728,0.079914
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,professional_psychology,612,0.251634,-4.129850,-0.006145,-4.129850,-0.006145
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,public_relations,110,0.218182,-4.426814,-0.126514,-4.426814,-0.126514
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,security_studies,245,0.183673,-4.118508,0.110999,-4.118508,0.110999
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,sociology,201,0.243781,-4.129500,0.025354,-4.129500,0.025354
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,us_foreign_policy,100,0.280000,-4.214036,0.075324,-4.214036,0.075324
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,virology,166,0.271084,-4.179158,0.005218,-4.179158,0.005218
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,pubmed,0.168,world_religions,171,0.321637,-4.189590,0.200079,-4.189590,0.200079
GPT2_345M_2.2B_USPTO,GPT2-345M,uspto,0.158,abstract_algebra,100,0.220000,-5.003956,-0.207172,-5.003956,-0.207172
GPT2_345M_2.2B_USPTO,GPT2-345M,uspto,0.158,anatomy,135,0.192593,-5.256175,-0.254200,-5.256175,-0.254200
GPT2_345M_2.2B_USPTO,GPT2-345M,uspto,0.158,astronomy,152,0.171053,-5.856271,-0.348257,-5.856271,-0.348257
GPT2_345M_2.2B_USPTO,GPT2-345M,uspto,0.158,business_ethics,100,0.300000,-5.372302,0.305411,-5.372302,0.305411
GPT2_345M_2.2B_USPTO,GPT2-345M,uspto,0.158,clinical_knowledge,265,0.215094,-5.427572,-0.139078,-5.427572,-0.139078
GPT2_345M_2.2B_USPTO,GPT2-345M,uspto,0.158,college_biology,144,0.256944,-5.033133,0.014935,-5.033133,0.014935
GPT2_345M_2.2B_USPTO,GPT2-345M,uspto,0.158,college_chemistry,100,0.180000,-5.151238,-0.287622,-5.151238,-0.287622
GPT2_345M_2.2B_USPTO,GPT2-345M,uspto,0.158,college_computer_science,100,0.250000,-5.415879,-0.012264,-5.415879,-0.012264
GPT2_345M_2.2B_USPTO,GPT2-345M,uspto,0.158,college_mathematics,100,0.210000,-5.208857,-0.177935,-5.208857,-0.177935
